"","label","index","nr_pix","height","width","tallness","rows_with_1","cols_with_1","rows_with_5plus","cols_with_5plus","one_neigh","three_plus_neigh","none_below","none_above","none_before","none_after","nr_regions","nr_eyes","r5_c5","bd_decimal","r_max_pixel","c_max_pixel"
"1","11","1",22,12,7,1.71428571428571,7,3,1,1,2,9,6,6,9,10,8,3,0,0.363636363636364,7,11
"2","11","2",22,12,7,1.71428571428571,7,3,1,1,2,9,6,6,9,10,2,8,0,0.363636363636364,7,11
"3","11","3",21,10,7,1.42857142857143,5,3,1,1,2,11,8,5,9,10,9,8,0,0.285714285714286,7,10
"4","11","4",18,10,7,1.42857142857143,7,4,1,1,3,7,8,5,7,9,1,2,0,0.166666666666667,7,10
"5","11","5",26,12,8,1.5,4,2,1,1,2,17,8,7,10,10,9,1,0,0.307692307692308,8,10
"6","11","6",21,12,7,1.71428571428571,8,4,1,1,3,11,8,5,7,10,1,10,0,0.333333333333333,7,11
"7","11","7",24,11,9,1.22222222222222,6,6,1,1,3,11,8,8,9,10,3,10,0,0.375,9,11
"8","11","8",26,11,7,1.57142857142857,2,3,1,2,2,21,8,6,8,9,10,3,-1,0.230769230769231,7,11
"9","12","1",28,13,7,1.85714285714286,7,0,2,1,1,15,9,10,7,7,6,4,1,0.285714285714286,7,6
"10","12","2",30,13,12,1.08333333333333,7,3,1,1,1,4,13,12,6,8,1,3,0,0.266666666666667,10,6
"11","12","3",28,13,11,1.18181818181818,6,4,2,0,2,6,12,10,7,7,9,10,2,0.357142857142857,5,4
"12","12","4",28,12,10,1.2,6,2,1,1,2,7,12,11,7,7,10,9,0,0.392857142857143,9,5
"13","12","5",29,14,12,1.16666666666667,8,5,1,1,2,5,11,10,8,8,4,1,0,0.310344827586207,9,6
"14","12","6",31,13,12,1.08333333333333,7,3,1,2,3,9,13,12,5,7,3,8,-1,0.32258064516129,10,5
"15","12","7",30,13,10,1.3,5,3,3,1,2,11,10,9,9,9,9,7,2,0.333333333333333,5,7
"16","12","8",29,12,12,1,6,5,2,1,2,5,14,12,6,7,4,2,1,0.344827586206897,10,6
"17","13","1",30,15,7,2.14285714285714,7,0,1,2,1,12,9,10,8,8,5,2,-1,0.166666666666667,5,7
"18","13","2",30,15,8,1.875,7,1,1,1,2,8,8,12,8,11,7,4,0,0.233333333333333,6,11
"19","13","3",26,14,7,2,8,0,1,1,1,5,9,8,7,7,5,10,0,0.307692307692308,5,7
"20","13","4",32,15,9,1.66666666666667,5,0,1,3,2,6,12,10,9,10,10,1,-2,0.3125,5,5
"21","13","5",30,17,8,2.125,9,0,0,1,2,4,9,8,10,10,7,6,-1,0.233333333333333,4,9
"22","13","6",31,14,9,1.55555555555556,4,1,1,1,1,8,10,9,8,7,1,10,0,0.387096774193548,5,7
"23","13","7",31,14,8,1.75,4,0,0,2,2,12,9,7,10,11,4,4,-2,0.258064516129032,4,7
"24","13","8",32,15,8,1.875,7,1,1,1,0,14,9,9,10,9,5,8,0,0.28125,5,11
"25","14","1",27,12,10,1.2,6,3,1,2,2,11,8,8,7,8,7,3,-1,0.296296296296296,10,8
"26","14","2",24,12,8,1.5,7,4,1,1,3,15,6,4,7,10,10,7,0,0.166666666666667,8,11
"27","14","3",29,14,10,1.4,7,4,2,2,2,10,8,7,12,13,2,1,0,0.344827586206897,6,8
"28","14","4",30,15,10,1.5,8,4,2,2,2,13,8,6,10,13,7,9,0,0.333333333333333,7,11
"29","14","5",30,14,11,1.27272727272727,8,4,2,1,3,15,9,7,10,12,10,1,1,0.333333333333333,7,14
"30","14","6",32,16,11,1.45454545454545,9,3,2,2,0,11,5,6,11,13,7,6,0,0.3125,8,12
"31","14","7",33,14,11,1.27272727272727,5,4,1,1,1,19,7,7,11,12,3,4,0,0.333333333333333,10,13
"32","14","8",26,11,11,1,5,5,1,1,2,9,9,8,8,9,6,3,0,0.307692307692308,11,11
"33","15","1",34,12,9,1.33333333333333,7,0,3,2,2,14,18,18,8,7,10,2,1,0.470588235294118,8,6
"34","15","2",32,13,10,1.3,9,0,3,1,2,8,18,18,7,5,4,8,2,0.4375,8,5
"35","15","3",31,12,10,1.2,7,0,3,0,2,5,18,17,5,4,2,2,3,0.354838709677419,8,4
"36","15","4",32,14,10,1.4,8,0,3,0,1,1,17,16,8,7,5,7,3,0.34375,7,4
"37","15","5",35,15,10,1.5,8,0,2,1,2,6,14,15,9,9,2,7,1,0.4,7,8
"38","15","6",41,16,11,1.45454545454545,7,0,3,2,0,19,15,17,10,10,5,2,1,0.463414634146341,8,8
"39","15","7",32,15,9,1.66666666666667,9,1,1,2,2,10,12,14,9,6,7,9,-1,0.40625,8,7
"40","15","8",34,16,10,1.6,10,0,1,1,2,8,15,15,9,7,4,4,0,0.558823529411765,8,6
"41","16","1",23,11,7,1.57142857142857,3,1,0,1,0,8,4,6,8,4,3,2,-1,0.434782608695652,4,6
"42","16","2",35,14,10,1.4,4,0,3,2,1,13,11,11,9,8,6,6,1,0.428571428571429,7,6
"43","16","3",31,15,8,1.875,6,0,1,2,0,8,7,6,10,9,1,3,-1,0.580645161290323,6,6
"44","16","4",29,14,8,1.75,7,0,2,3,1,8,7,7,10,8,1,10,-1,0.551724137931034,6,5
"45","16","5",27,13,8,1.625,6,0,1,1,1,8,6,7,7,6,4,2,0,0.444444444444444,5,5
"46","16","6",26,13,8,1.625,6,1,1,1,1,6,6,7,7,6,7,8,0,0.461538461538462,7,6
"47","16","7",29,12,8,1.5,4,0,1,2,1,12,9,8,6,8,2,3,-1,0.379310344827586,8,5
"48","16","8",28,13,8,1.625,5,0,1,1,1,5,9,8,7,6,9,1,0,0.535714285714286,6,5
"49","17","1",21,12,9,1.33333333333333,10,1,1,0,1,3,9,9,5,6,2,4,1,0.428571428571429,9,3
"50","17","2",28,13,9,1.44444444444444,10,1,2,0,4,8,12,13,5,6,5,2,2,0.428571428571429,9,4
"51","17","3",22,13,10,1.3,11,0,1,0,2,2,8,9,4,4,1,6,1,0.409090909090909,9,3
"52","17","4",33,14,12,1.16666666666667,11,3,2,0,4,8,16,17,6,6,7,7,2,0.424242424242424,11,4
"53","17","5",23,12,12,1,11,4,1,0,2,2,11,12,5,5,6,1,1,0.434782608695652,12,3
"54","17","6",33,14,11,1.27272727272727,11,1,3,1,4,16,14,15,6,6,5,4,2,0.424242424242424,9,5
"55","17","7",41,12,14,0.857142857142857,9,2,3,1,3,24,19,21,6,5,3,1,2,0.48780487804878,12,5
"56","17","8",26,15,11,1.36363636363636,13,2,1,0,1,5,10,11,7,7,9,5,1,0.461538461538462,11,4
"57","21","1",27,11,9,1.22222222222222,1,0,0,1,1,7,6,5,10,11,3,2,-1,0.407407407407407,4,8
"58","21","2",40,12,11,1.09090909090909,1,0,2,3,1,23,9,8,11,14,5,3,-1,0.35,7,8
"59","21","3",32,10,10,1,1,0,2,2,1,12,9,9,10,10,9,2,0,0.375,7,7
"60","21","4",29,10,10,1,0,1,1,1,1,8,7,7,8,11,5,7,0,0.482758620689655,6,9
"61","21","5",31,11,9,1.22222222222222,1,0,1,3,1,8,7,7,13,14,7,5,-2,0.354838709677419,5,7
"62","21","6",35,12,11,1.09090909090909,1,0,2,2,1,9,9,9,13,12,2,8,0,0.428571428571429,6,8
"63","21","7",35,12,11,1.09090909090909,1,0,2,2,1,7,9,9,15,14,4,4,0,0.457142857142857,6,7
"64","21","8",31,10,10,1,0,1,2,1,0,11,10,7,9,11,5,9,1,0.419354838709677,7,10
"65","22","1",34,15,9,1.66666666666667,3,0,0,3,1,9,6,5,17,14,5,1,-3,0.588235294117647,4,8
"66","22","2",33,15,9,1.66666666666667,3,0,0,2,1,4,6,7,17,15,7,6,-2,0.484848484848485,4,12
"67","22","3",33,12,9,1.33333333333333,3,0,2,2,1,18,7,8,12,12,3,4,0,0.393939393939394,5,11
"68","22","4",31,12,8,1.5,3,0,1,3,1,15,6,8,12,11,8,6,-2,0.451612903225806,5,9
"69","22","5",34,15,9,1.66666666666667,4,0,1,3,1,12,6,6,17,15,4,3,-2,0.411764705882353,5,9
"70","22","6",42,14,10,1.4,2,0,2,2,1,28,9,8,14,13,2,4,0,0.619047619047619,8,13
